minimum score,number of encodings
259138,139897
265027.5,0
270917,63792
276806.5,235946
282696,168974
288585.5,88788
294475,248590
300364.5,393064
306254,287562
312143.5,297696
318033,391664
323922.5,457170
329812,440636
335701.5,414952
341591,499040
347480.5,502062
353370,483518
359259.5,487118
365149,508264
371038.5,502836
376928,491348
382817.5,454238
388707,464332
394596.5,451378
400486,393430
406375.5,386330
412265,376578
418154.5,331736
424044,296290
429933.5,291930
435823,270002
441712.5,223136
447602,209938
453491.5,199416
459381,163364
465270.5,134178
471160,129192
477049.5,114312
482939,93000
488828.5,82600
494718,74666
500607.5,61858
506497,54166
512386.5,47572
518276,38604
524165.5,32836
530055,27184
535944.5,19244
541834,13084
547723.5,9864
553613,5782
559502.5,3164
565392,1624
571281.5,746
577171,404
583060.5,106
